N,graph,r,p_Bd,fix_prob,fix_time
50,star,1.0,0.6000000000000001,0.015,3277.4
50,star,1.0,0.7000000000000001,0.007,5855.571428571428
50,star,1.0,0.8,0.007,8049.285714285715
50,star,1.0,0.9,0.005,15490.8
50,star,1.0,1.0,0.0,
50,star,1.002,0.0,0.496,242.65120967741936
50,star,1.002,0.1,0.105,479.9714285714286
50,star,1.002,0.2,0.068,877.2794117647059
50,star,1.002,0.30000000000000004,0.039,1148.6410256410256
50,star,1.002,0.4,0.024,1690.0416666666667
50,star,1.002,0.5,0.024,2387.6666666666665
50,star,1.002,0.6000000000000001,0.012,3418.0
50,star,1.002,0.7000000000000001,0.009,6358.111111111111
50,star,1.002,0.8,0.004,10792.5
50,star,1.002,0.9,0.002,25005.5
50,star,1.002,1.0,0.001,215548.0
50,star,1.004,0.0,0.467,241.7173447537473
50,star,1.004,0.1,0.131,498.25954198473283
50,star,1.004,0.2,0.068,860.0441176470588
50,star,1.004,0.30000000000000004,0.047,1317.9787234042553
50,star,1.004,0.4,0.032,1796.1875
50,star,1.004,0.5,0.026,1937.8076923076924
50,star,1.004,0.6000000000000001,0.016,3547.625
50,star,1.004,0.7000000000000001,0.007,4929.714285714285
50,star,1.004,0.8,0.007,7289.0
50,star,1.004,0.9,0.004,18216.5
50,star,1.004,1.0,0.0,
50,star,1.006,0.0,0.483,237.02691511387164
50,star,1.006,0.1,0.141,470.82978723404256
50,star,1.006,0.2,0.083,910.9518072289156
50,star,1.006,0.30000000000000004,0.055,1182.1636363636364
50,star,1.006,0.4,0.032,2035.40625
50,star,1.006,0.5,0.028,2340.6428571428573
50,star,1.006,0.6000000000000001,0.016,3897.625
50,star,1.006,0.7000000000000001,0.006,5269.833333333333
50,star,1.006,0.8,0.011,9767.272727272728
50,star,1.006,0.9,0.002,13068.5
50,star,1.006,1.0,0.003,128222.33333333333
50,star,1.008,0.0,0.496,247.48387096774192
50,star,1.008,0.1,0.144,467.72222222222223
50,star,1.008,0.2,0.065,838.4
50,star,1.008,0.30000000000000004,0.043,1295.4651162790697
50,star,1.008,0.4,0.028,1518.5
50,star,1.008,0.5,0.03,2401.6
50,star,1.008,0.6000000000000001,0.021,3745.3333333333335
50,star,1.008,0.7000000000000001,0.012,5402.25
50,star,1.008,0.8,0.006,8270.5
50,star,1.008,0.9,0.004,20513.25
50,star,1.008,1.0,0.0,
50,star,1.01,0.0,0.5,241.428
50,star,1.01,0.1,0.138,488.6811594202899
50,star,1.01,0.2,0.076,785.6315789473684
50,star,1.01,0.30000000000000004,0.044,1224.5681818181818
50,star,1.01,0.4,0.037,1721.162162162162
50,star,1.01,0.5,0.022,2875.7727272727275
50,star,1.01,0.6000000000000001,0.011,3507.2727272727275
50,star,1.01,0.7000000000000001,0.009,5338.111111111111
50,star,1.01,0.8,0.003,7667.666666666667
50,star,1.01,0.9,0.003,39461.0
50,star,1.01,1.0,0.0,
