,N,graph,p_Bd,r,abs_time,fix_prob
218,3,42770a,0.9,1.45,3.089094208876423,0.45493278651173386
219,3,42770a,1.0,1.45,3.0988467874794066,0.4618341570565623
220,3,42770a,0.0,1.5999999999999999,3.0,0.41025641025641013
221,3,42770a,0.1,1.5999999999999999,3.0118764845605703,0.41858822096351783
222,3,42770a,0.2,1.5999999999999999,3.0236966824644544,0.42697776157491774
223,3,42770a,0.30000000000000004,1.5999999999999999,3.0354609929078014,0.4354246226586651
224,3,42770a,0.4,1.5999999999999999,3.047169811320755,0.4439283986453797
225,3,42770a,0.5,1.5999999999999999,3.0588235294117645,0.4524886877828053
226,3,42770a,0.6000000000000001,1.5999999999999999,3.0704225352112675,0.4611050920910076
227,3,42770a,0.7000000000000001,1.5999999999999999,3.0819672131147535,0.4697772173182008
228,3,42770a,0.8,1.5999999999999999,3.093457943925234,0.4785046728971962
229,3,42770a,0.9,1.5999999999999999,3.104895104895105,0.48728707190245646
230,3,42770a,1.0,1.5999999999999999,3.1162790697674425,0.496124031007752
231,3,42770a,0.0,1.75,2.9999999999999987,0.42424242424242414
232,3,42770a,0.1,1.75,3.0132890365448506,0.4341789992952783
233,3,42770a,0.2,1.75,3.0264900662251653,0.44419024683925334
234,3,42770a,0.30000000000000004,1.75,3.039603960396039,0.45427542754275424
235,3,42770a,0.4,1.75,3.0526315789473677,0.4644338118022326
236,3,42770a,0.5,1.75,3.065573770491804,0.47466467958271236
237,3,42770a,0.6000000000000001,1.75,3.078431372549018,0.48496732026143774
238,3,42770a,0.7000000000000001,1.75,3.091205211726384,0.4953410324745829
239,3,42770a,0.8,1.75,3.103896103896103,0.505785123966942
240,3,42770a,0.9,1.75,3.1165048543689315,0.5162989114445423
241,3,42770a,1.0,1.75,3.1290322580645156,0.5268817204301074
